,Player,Club,GamesPlayed,GamesStarted,ShotsFaced,SavesMade,GoalsAgainst,Wins,Losses,Ties,ShutOuts,WinsPercentage,SavePercentage,Year
215,Bo Oshoniyi,KC ,11,10,74,48,25,4,5,1,3,36.4,64.9,1996
216,Jeff Causey,New England Revolution,11,10,91,58,23,3,5,3,1,27.3,63.7,1996
217,Kevin Hartman,LA Galaxy,11,11,66,48,14,6,4,1,4,54.5,72.7,1996
218,Juergen Sommer,New England Revolution,10,10,68,50,17,3,6,1,1,30.0,73.5,1996
219,Jose Fernandez,New England Revolution,7,7,45,30,12,1,3,2,1,14.3,66.7,1996
220,Mark Simpson,D.C. United,7,7,44,30,12,5,2,0,1,71.4,68.2,1996
221,David Kramer,Colorado Rapids,5,5,34,25,8,0,3,2,0,0.0,73.5,1996
222,Mark Dougherty,Columbus Crew,2,1,6,5,1,1,0,0,0,50.0,83.3,1996
223,Chris Snitko,FC Dallas,1,0,2,0,2,0,0,0,0,0.0,0.0,1996
224,Jon Conway,San Jose Earthquakes,1,1,5,3,1,0,1,0,0,0.0,60.0,1996
225,Jeff Cassar,Inter Miami CF,1,1,9,5,3,1,0,0,0,100.0,55.6,1996
226,Henry Ring,Chicago FIre FC,0,0,0,0,0,0,0,0,0,0.0,0.0,1996
227,Taly Goode,KC ,0,0,0,0,0,0,0,0,0,0.0,0.0,1996
228,D.J. Countess,Metropolitan Oval,0,0,0,0,0,0,0,0,0,0.0,0.0,1996
229,Paul Grafer,Metropolitan Oval,0,0,0,0,0,0,0,0,0,0.0,0.0,1996
230,Rich Cullen,Colorado Rapids,0,0,0,0,0,0,0,0,0,0.0,0.0,1996
231,Randy Dedini,FC Dallas,0,0,0,0,0,0,0,0,0,0.0,0.0,1996
232,Alex Deegan,D.C. United,0,0,0,0,0,0,0,0,0,0.0,0.0,1996
233,Anthony Latronica,KC ,0,0,0,0,0,0,0,0,0,0.0,0.0,1996
234,Jon Lowery,TB ,0,0,0,0,0,0,0,0,0,0.0,0.0,1996
235,Dan Moss,KC ,0,0,0,0,0,0,0,0,0,0.0,0.0,1996
236,Matt Napoleon,Columbus Crew,0,0,0,0,0,0,0,0,0,0.0,0.0,1996
237,Matt Nyman,TB ,0,0,0,0,0,0,0,0,0,0.0,0.0,1996
238,Ronnie Pascale,D.C. United,0,0,0,0,0,0,0,0,0,0.0,0.0,1996
239,Eric Pogue,FC Dallas,0,0,0,0,0,0,0,0,0,0.0,0.0,1996
240,Dan Popik,FC Dallas,0,0,0,0,0,0,0,0,0,0.0,0.0,1996
