,Player,Club,Position,GamesPlayed,GamesStarted,MinutesPlayed,GoalsScored,Assists,Shots,ShotsOnGoal,GameWinningGoal,HomeGoals,RoadGoals,GoalsPer90Minutes,ShotConversion,GameWinningAssists,HomeAssists,RoadAssists,AssistsPer90Min,FoulsCommitted,FoulsSufferred,Offsides,YellowCards,RedCards,Year,Season
3814,Diego Rossi,LAFC,F,19,19,1698,14,4,71,34,1,11,3,0.74,19.7,2,3,1,0.21,6,20,12,0,0,2020,reg
3815,Gyasi Zardes,CLB,F,21,20,1717,12,4,41,19,2,8,4,0.63,29.3,1,2,2,0.21,19,27,17,1,0,2020,reg
3816,Raul Ruidiaz ,SEA,F,17,17,1427,12,4,55,23,4,8,4,0.76,21.8,0,2,2,0.25,11,13,13,2,0,2020,reg
3817,Robert Beric,CHI,F,23,22,1931,12,1,62,29,1,7,5,0.56,19.4,0,1,0,0.05,38,58,28,1,0,2020,reg
3818,Jordan Morris,SEA,F,22,18,1724,10,8,39,18,3,8,2,0.52,25.6,0,5,3,0.42,6,12,13,1,0,2020,reg
3819,Chris Mueller,ORL,F,22,17,1477,10,7,36,19,3,8,2,0.61,27.8,4,5,2,0.43,12,33,2,0,0,2020,reg
3820,Cristian Pavon,LA,M,22,22,1980,10,7,63,26,2,5,5,0.45,15.9,2,5,2,0.32,20,27,5,1,0,2020,reg
3821,Alejandro Pozuelo,TOR,M,23,23,2015,9,10,52,25,5,4,5,0.4,17.3,2,5,5,0.45,26,28,1,3,0,2020,reg
3822,Kevin Molino,MIN,M,18,15,1264,9,4,38,17,3,5,4,0.64,23.7,2,3,1,0.28,16,48,4,0,0,2020,reg
3823,Ayo Akinola,TOR,F,15,11,1063,9,0,36,18,2,4,5,0.76,25.0,0,0,0,0.0,28,7,13,1,0,2020,reg
3824,Diego Valeri,POR,M,22,18,1628,8,7,39,16,3,5,3,0.44,20.5,0,1,6,0.39,10,19,2,2,0,2020,reg
3825,Bradley Wright-Phillips,LAFC,F,18,14,1081,8,6,33,15,3,7,1,0.67,24.2,1,4,2,0.5,12,16,8,0,0,2020,reg
3826,Romell Quioto,MTL,M,19,17,1483,8,6,51,20,2,4,4,0.49,15.7,2,3,3,0.36,13,23,16,2,1,2020,reg
3827,Kacper Przybylko,PHI,F,23,23,1974,8,6,54,25,4,5,3,0.36,14.8,1,6,0,0.27,14,23,17,1,0,2020,reg
3828,Daryl Dike,ORL,F,17,15,1224,8,4,30,12,2,5,3,0.59,26.7,1,2,2,0.29,25,30,6,0,0,2020,reg
3829,Jeremy Ebobisse,POR,F,18,11,1062,8,2,32,14,1,2,6,0.68,25.0,1,2,0,0.17,9,10,3,0,0,2020,reg
3830,Sergio Santos,PHI,F,21,17,1218,8,2,34,12,3,6,2,0.59,23.5,0,0,2,0.15,34,20,9,4,0,2020,reg
3831,Teal Bunbury,NE,F,22,19,1466,8,1,43,12,3,2,6,0.49,18.6,0,1,0,0.06,22,23,6,3,0,2020,reg
3832,Damir Kreilach,RSL,M,21,20,1770,8,1,48,20,2,5,3,0.41,16.7,0,0,1,0.05,30,33,5,4,0,2020,reg
3833,Nicolás Lodeiro,SEA,M,20,20,1782,7,10,40,18,2,4,3,0.35,17.5,6,7,3,0.51,14,54,3,2,0,2020,reg
3834,Darwin Quintero,HOU,F,22,20,1689,7,10,59,24,2,4,3,0.37,11.9,1,3,7,0.53,11,26,9,5,0,2020,reg
3835,Robin Lod,MIN,M,20,18,1585,7,5,40,13,0,4,3,0.4,17.5,1,5,0,0.28,21,8,2,3,0,2020,reg
3836,Felipe Mora,POR,F,19,13,1204,7,2,32,17,3,3,4,0.52,21.9,0,1,1,0.15,7,31,6,0,0,2020,reg
3837,Jaroslaw Niezgoda,POR,F,17,7,602,7,1,12,9,1,5,2,1.05,58.3,0,1,0,0.15,2,3,0,0,0,2020,reg
3838,Chris Wondolowski,SJ,F,22,13,1275,7,1,31,19,1,4,3,0.49,22.6,0,1,0,0.07,11,14,10,1,0,2020,reg
3839,Franco Jara,DAL,F,19,16,1388,7,0,37,20,3,4,3,0.45,18.9,0,0,0,0.0,27,27,11,4,0,2020,reg
3840,Pedro Santos,CLB,M,22,22,1841,6,8,44,16,4,4,2,0.29,13.6,2,5,3,0.39,30,47,1,4,0,2020,reg
3841,Alan Pulido,SKC,F,12,11,962,6,5,36,18,3,3,3,0.56,16.7,2,2,3,0.47,8,30,6,3,0,2020,reg
3842,Nani,ORL,M,19,16,1423,6,5,51,16,2,3,3,0.38,11.8,1,3,2,0.32,14,27,3,3,1,2020,reg
3843,Lucas Zelarayan,CLB,M,16,12,1039,6,4,23,10,3,5,1,0.52,26.1,1,2,2,0.35,16,19,0,2,0,2020,reg
3844,Gadi Kinda,SKC,M,18,16,1394,6,4,35,11,1,3,3,0.39,17.1,2,2,2,0.26,30,25,2,5,1,2020,reg
3845,Sebastian Lletget,LA,M,21,19,1692,6,4,37,18,1,4,2,0.32,16.2,0,2,2,0.21,20,22,4,1,0,2020,reg
3846,Johnny Russell,SKC,F,21,17,1529,6,4,50,17,2,5,1,0.35,12.0,1,3,1,0.24,14,27,0,3,0,2020,reg
3847,Valentin Castellanos,NYC,F,22,14,1341,6,3,75,34,1,4,2,0.4,8.0,0,2,1,0.2,55,26,14,7,0,2020,reg
3848,Adam Buksa,NE,F,23,16,1499,6,2,59,24,1,2,4,0.36,10.2,0,0,2,0.12,31,20,4,4,0,2020,reg
3849,Anthony Fontana,PHI,M,17,5,509,6,0,16,13,3,3,3,1.06,37.5,0,0,0,0.0,16,12,0,4,0,2020,reg
3850,Lucas Cavallini,VAN,F,18,16,1457,6,0,44,18,4,5,1,0.37,13.6,0,0,0,0.0,31,42,7,7,1,2020,reg
3851,Lewis Morgan,MIA,M,23,23,1952,5,8,56,18,2,5,0,0.23,8.9,3,4,4,0.37,9,27,3,1,0,2020,reg
3852,Cole Bassett,COL,M,14,12,982,5,5,22,9,2,3,2,0.46,22.7,1,1,4,0.46,10,10,2,1,0,2020,reg
3853,Fredy Montero,VAN,F,16,11,1059,5,5,31,13,0,4,1,0.42,16.1,3,3,2,0.42,23,31,1,1,0,2020,reg
3854,Memo Rodriguez,HOU,M,21,20,1604,5,3,52,16,0,1,4,0.28,9.6,1,1,2,0.17,25,29,5,5,0,2020,reg
3855,Gustavo Bou,NE,F,18,14,1329,5,3,64,22,3,2,3,0.34,7.8,0,0,3,0.2,8,16,23,0,0,2020,reg
3856,Benji Michel,ORL,F,21,8,840,5,2,16,10,2,3,2,0.54,31.3,1,1,1,0.21,8,17,4,2,0,2020,reg
3857,Maximiliano Urruti,MTL,F,15,10,895,5,2,22,11,2,3,2,0.5,22.7,0,1,1,0.2,9,10,7,1,0,2020,reg
3858,Jesus Medina,NYC,M,22,18,1495,5,2,32,16,1,2,3,0.3,15.6,1,1,1,0.12,22,16,7,3,0,2020,reg
3859,Danny Musovski,LAFC,F,15,6,629,5,1,20,15,1,5,0,0.72,25.0,1,1,0,0.14,10,4,5,0,0,2020,reg
3860,Brian White,RBNY,F,18,10,872,5,1,26,11,2,2,3,0.52,19.2,0,0,1,0.1,17,5,11,1,0,2020,reg
3861,Andres Rios,SJ,F,22,20,1711,5,1,28,8,1,3,2,0.26,17.9,1,0,1,0.05,41,48,10,5,0,2020,reg
3862,Khiry Shelton,SKC,F,20,17,1447,5,1,29,14,1,4,1,0.31,17.2,1,1,0,0.06,17,17,9,4,0,2020,reg
3863,Erik Hurtado,SKC,F,15,3,376,5,0,19,8,1,1,4,1.2,26.3,0,0,0,0.0,8,7,2,0,0,2020,reg
3864,Jonathan Lewis,COL,F,18,7,705,5,0,27,10,1,2,3,0.64,18.5,0,0,0,0.0,6,9,3,2,0,2020,reg
3865,Yimmi Chara,POR,M,21,12,1233,4,8,23,12,2,2,2,0.29,17.4,1,6,2,0.58,5,20,4,0,0,2020,reg
3866,Brenden Aaronson,PHI,M,23,23,1914,4,7,36,16,1,2,2,0.19,11.1,3,6,1,0.33,16,28,4,0,0,2020,reg
3867,Saphir Taider,MTL,F,11,11,955,4,6,19,5,1,3,1,0.38,21.1,4,2,4,0.57,11,16,1,1,0,2020,reg
3868,Rodolfo Pizarro,MIA,M,19,17,1578,4,5,31,11,1,1,3,0.23,12.9,1,3,2,0.29,13,56,7,4,0,2020,reg
3869,Richie Laryea,TOR,M,20,15,1398,4,4,13,6,1,2,2,0.26,30.8,3,3,1,0.26,13,45,3,1,0,2020,reg
3870,Anton Tinnerholm,NYC,D,23,22,2001,4,4,21,6,2,3,1,0.18,19.0,2,4,0,0.18,27,27,4,5,0,2020,reg
3871,Alexander Ring,NYC,M,23,23,2016,4,4,26,8,2,4,0,0.18,15.4,1,1,3,0.18,43,19,12,5,0,2020,reg
3872,Hany Mukhtar,NSH,M,15,13,1092,4,4,32,13,0,1,3,0.33,12.5,1,2,2,0.33,13,28,3,0,0,2020,reg
3873,Pablo Piatti,TOR,M,17,16,1338,4,4,39,16,2,3,1,0.27,10.3,1,1,3,0.27,28,37,1,4,0,2020,reg
3874,Alberth Elis,HOU,F,6,4,377,4,3,17,8,0,1,3,0.95,23.5,0,2,1,0.72,13,5,3,1,1,2020,reg
3875,Daniel Royer,RBNY,M,20,15,1354,4,3,30,10,1,2,2,0.27,13.3,1,3,0,0.2,9,30,8,0,0,2020,reg
3876,Ethan Finlay,MIN,M,14,12,961,4,2,18,9,0,2,2,0.37,22.2,1,0,2,0.19,15,9,2,0,0,2020,reg
3877,Alexandru Mitrita,NYC,F,12,8,699,4,2,23,9,2,2,2,0.52,17.4,1,1,1,0.26,6,21,0,0,0,2020,reg
3878,Bojan Krkic,MTL,M,17,14,1159,4,2,25,12,1,1,3,0.31,16.0,2,2,0,0.16,6,20,5,0,0,2020,reg
3879,Kei Kamara,MIN,F,16,11,980,4,2,28,10,1,2,2,0.37,14.3,0,1,1,0.18,9,8,4,1,0,2020,reg
3880,Lassi Lappalainen,MTL,M,13,7,680,4,1,13,11,0,2,2,0.53,30.8,1,1,0,0.13,5,4,4,0,0,2020,reg
3881,Carlos Vela,LAFC,F,7,4,422,4,1,22,10,1,4,0,0.85,18.2,0,0,1,0.21,3,8,1,0,0,2020,reg
3882,Ryan Hollingshead,DAL,M,20,19,1731,4,1,31,11,4,2,2,0.21,12.9,1,1,0,0.05,23,17,2,3,0,2020,reg
3883,Fabian Herbers,CHI,F,21,18,1366,4,1,31,10,2,4,0,0.26,12.9,0,1,0,0.07,24,21,3,6,0,2020,reg
3884,Andre Shinyashiki,COL,F,15,13,1034,4,1,33,18,0,2,2,0.35,12.1,0,0,1,0.09,18,19,3,2,0,2020,reg
3885,Jon Gallagher,ATL,F,16,11,982,4,0,13,7,1,2,2,0.37,30.8,0,0,0,0.0,11,24,7,0,0,2020,reg
3886,Brek Shea,MIA,D,13,6,628,4,0,13,6,1,1,3,0.57,30.8,0,0,0,0.0,9,6,3,1,0,2020,reg
3887,Santiago Mosquera,DAL,M,12,5,411,4,0,17,9,0,3,1,0.88,23.5,0,0,0,0.0,5,6,4,0,0,2020,reg
3888,Daniel Rios,NSH,F,18,8,697,4,0,25,8,1,4,0,0.52,16.0,0,0,0,0.0,9,7,2,0,0,2020,reg
3889,Ola Kamara,DC,F,22,17,1327,4,0,28,9,0,3,1,0.27,14.3,0,0,0,0.0,9,24,20,0,0,2020,reg
3890,Cristian Espinoza,SJ,M,23,22,1812,3,9,52,19,3,2,1,0.15,5.8,1,3,6,0.45,21,19,3,3,0,2020,reg
3891,Jamiro Monteiro,PHI,M,22,22,1941,3,6,32,14,0,2,1,0.14,9.4,2,3,3,0.28,38,39,0,6,0,2020,reg
3892,Eryk Williamson,POR,M,21,17,1417,3,5,16,5,0,1,2,0.19,18.8,4,2,3,0.32,23,29,2,7,0,2020,reg
3893,Mark-Anthony Kaye,LAFC,M,16,15,1095,3,4,13,4,0,3,0,0.25,23.1,0,4,0,0.33,11,16,1,1,1,2020,reg
3894,Kyle Duncan,RBNY,D,23,21,1908,3,4,13,4,1,2,1,0.14,23.1,2,4,0,0.19,31,33,0,3,0,2020,reg
3895,Diego Rubio,COL,F,16,12,1040,3,4,24,7,2,0,3,0.26,12.5,2,0,4,0.35,18,29,5,3,0,2020,reg
3896,Cristian Dajome,VAN,F,23,18,1604,3,4,31,10,1,2,1,0.17,9.7,1,3,1,0.22,24,40,2,3,0,2020,reg
3897,Randall Leal,NSH,F-M,21,19,1615,3,4,41,18,2,2,1,0.17,7.3,0,3,1,0.22,31,36,3,2,0,2020,reg
3898,Ilsinho,PHI,M,22,2,623,3,3,10,4,1,3,0,0.43,30.0,1,2,1,0.43,8,7,2,2,0,2020,reg
3899,Justin Meram,RSL,M,21,13,1146,3,3,16,8,0,2,1,0.24,18.8,0,0,3,0.24,15,15,3,1,0,2020,reg
3900,Kelvin Leerdam,SEA,D,21,19,1551,3,3,18,3,0,2,1,0.17,16.7,0,2,1,0.17,14,5,2,2,0,2020,reg
3901,Gerso Fernandes,SKC,F,19,10,820,3,3,23,5,0,2,1,0.33,13.0,0,2,1,0.33,10,14,2,2,0,2020,reg
3902,Alejandro Bedoya,PHI,M,21,21,1832,3,3,31,12,1,1,2,0.15,9.7,1,1,2,0.15,29,12,7,9,0,2020,reg
3903,Mauricio Pineda,CHI,D-M,23,23,2022,3,2,9,3,1,1,2,0.13,33.3,0,1,1,0.09,24,7,0,5,0,2020,reg
3904,Adam Jahn,ATL,F,21,13,1072,3,2,15,8,1,1,2,0.25,20.0,0,0,2,0.17,20,2,11,2,0,2020,reg
3905,Yamil Asad,DC,M,23,18,1582,3,2,19,7,0,2,1,0.17,15.8,1,2,0,0.11,17,49,4,5,0,2020,reg
3906,Fafa Picault,DAL,M,18,11,1040,3,2,22,8,0,3,0,0.26,13.6,1,2,0,0.17,5,13,3,1,0,2020,reg
3907,Albert Rusnak,RSL,M,16,15,1291,3,2,31,8,2,3,0,0.21,9.7,0,2,0,0.14,8,21,1,0,0,2020,reg
3908,Junior Urso,ORL,M,23,20,1708,3,2,33,13,1,2,1,0.16,9.1,0,0,2,0.11,27,39,0,3,0,2020,reg
3909,Mauro Manotas,HOU,F,20,15,1326,3,2,45,20,1,3,0,0.2,6.7,0,1,1,0.14,9,12,2,0,1,2020,reg
3910,Walker Zimmerman,NSH,D,22,22,1955,3,1,19,9,0,2,1,0.14,15.8,0,1,0,0.05,18,4,0,1,0,2020,reg
3911,Ismael Tajouri-Shradi,NYC,F,15,6,670,3,1,21,8,2,2,1,0.4,14.3,0,1,0,0.13,10,6,3,0,0,2020,reg
3912,Youness Mokhtar,CLB,M,19,10,805,3,1,21,8,1,0,3,0.34,14.3,0,0,1,0.11,14,12,2,1,0,2020,reg
3913,Przemyslaw Frankowski,CHI,M,19,16,1459,3,1,27,13,0,3,0,0.19,11.1,0,0,1,0.06,29,19,2,1,0,2020,reg
3914,Vako,SJ,M,15,9,799,3,1,28,14,0,2,1,0.34,10.7,0,0,1,0.11,4,13,0,0,0,2020,reg
3915,Ariel Lassiter,HOU,F,16,10,949,3,1,30,16,0,2,1,0.28,10.0,1,1,0,0.09,7,14,8,2,0,2020,reg
3916,Keaton Parks,NYC,M,23,20,1733,3,1,40,16,0,2,1,0.16,7.5,0,0,1,0.05,25,11,1,5,0,2020,reg
3917,Tesho Akindele,ORL,F-M,17,8,821,3,0,12,6,0,2,1,0.33,25.0,0,0,0,0.0,5,6,3,0,0,2020,reg
3918,Donovan Pines,DC,D,16,15,1353,3,0,15,8,0,2,1,0.2,20.0,0,0,0,0.0,13,11,2,0,0,2020,reg
3919,Juan Agudelo,MIA,F,14,9,842,3,0,19,4,0,1,2,0.32,15.8,0,0,0,0.0,19,14,6,2,1,2020,reg
3920,Yuya Kubo,CIN,F,19,15,1284,3,0,19,7,1,2,1,0.21,15.8,0,0,0,0.0,28,40,2,1,0,2020,reg
3921,Tom Barlow,RBNY,F,21,12,974,3,0,39,20,1,3,0,0.28,7.7,0,0,0,0.0,13,4,15,0,0,2020,reg
3922,Mauricio Pereyra,ORL,M,16,14,1107,2,8,9,4,1,1,1,0.16,22.2,4,6,2,0.65,18,20,1,6,0,2020,reg
3923,Djordje Mihailovic,CHI,M,20,14,1171,2,7,26,7,0,2,0,0.15,7.7,0,3,4,0.54,12,26,3,1,0,2020,reg
3924,Brian Rodriguez,LAFC,F,19,18,1446,2,7,49,18,0,1,1,0.12,4.1,2,7,0,0.44,16,28,9,0,0,2020,reg
3925,Alvaro Medran,CHI,M,23,23,1996,2,6,37,13,0,2,0,0.09,5.4,1,3,3,0.27,34,40,1,5,0,2020,reg
3926,Ali Adnan,VAN,D,22,20,1769,2,5,14,5,0,2,0,0.1,14.3,3,3,2,0.25,18,30,3,2,0,2020,reg
3927,João Paulo,SEA,M,19,17,1501,2,5,16,6,0,2,0,0.12,12.5,1,3,2,0.3,28,20,0,5,0,2020,reg
3928,Alejandro Romero Gamarra,RBNY,M,16,13,1089,2,5,16,5,0,2,0,0.17,12.5,3,2,3,0.41,6,6,3,0,0,2020,reg
3929,Sebastian Blanco,POR,M-F,9,8,665,2,5,22,7,1,1,1,0.27,9.1,0,3,2,0.68,8,9,0,1,0,2020,reg
3930,Cristian Roldan,SEA,M,22,21,1890,2,5,27,10,0,0,2,0.1,7.4,2,4,1,0.24,17,25,4,1,0,2020,reg
3931,Artur,CLB,M,22,20,1831,2,4,11,6,0,2,0,0.1,18.2,2,3,1,0.2,43,14,1,3,0,2020,reg
3932,Younes Namli,COL,M,17,16,1272,2,4,23,10,0,1,1,0.14,8.7,1,1,3,0.28,16,22,1,2,0,2020,reg
3933,Corey Baird,RSL,F,21,17,1529,2,4,29,4,0,0,2,0.12,6.9,0,1,3,0.24,21,25,6,4,0,2020,reg
3934,Joevin Jones,SEA,D-M,13,10,831,2,3,9,4,0,2,0,0.22,22.2,2,2,1,0.32,8,15,0,1,0,2020,reg
3935,Mark McKenzie,PHI,D,22,22,1980,2,3,13,4,0,1,1,0.09,15.4,0,1,2,0.14,20,8,0,3,0,2020,reg
3936,Cristian Casseres Jr.,RBNY,M,19,14,1310,2,3,13,7,0,0,2,0.14,15.4,1,1,2,0.21,27,22,1,3,0,2020,reg
3937,Brooks Lennon,ATL,D,23,19,1751,2,3,14,5,0,1,1,0.1,14.3,1,1,2,0.15,31,19,4,3,0,2020,reg
3938,Carlos Fierro,SJ,M,16,11,961,2,3,21,8,0,1,1,0.19,9.5,0,1,2,0.28,9,22,3,2,0,2020,reg
3939,Florian Valot,RBNY,M,23,17,1510,2,3,24,6,1,0,2,0.12,8.3,1,2,1,0.18,11,28,0,1,0,2020,reg
3940,Julian Gressel,DC,M,22,19,1682,2,3,28,5,1,1,1,0.11,7.1,0,2,1,0.16,13,10,5,1,0,2020,reg
3941,Ezequiel Barco,ATL,M,15,11,1034,2,3,31,14,0,1,1,0.17,6.5,1,2,1,0.26,8,47,2,3,0,2020,reg
3942,Marcos Lopez,SJ,D,13,11,990,2,2,7,4,0,1,1,0.18,28.6,0,1,1,0.18,13,18,0,1,0,2020,reg
3943,Shea Salinas,SJ,M,23,4,774,2,2,10,3,1,0,2,0.23,20.0,1,2,0,0.23,11,13,1,1,0,2020,reg
3944,Christian Ramirez,HOU,F,15,8,675,2,2,13,7,0,0,2,0.27,15.4,1,1,1,0.27,5,7,5,0,0,2020,reg
3945,Emerson Hyndman,ATL,M,20,16,1383,2,2,14,6,2,1,1,0.13,14.3,1,0,2,0.13,17,8,1,2,0,2020,reg
3946,Boris Sekulic,CHI,D,21,21,1826,2,2,14,4,1,1,1,0.1,14.3,0,2,0,0.1,26,7,4,3,0,2020,reg
3947,Nick Lima,SJ,D,20,19,1531,2,2,16,6,1,0,2,0.12,12.5,1,2,0,0.12,18,18,0,2,0,2020,reg
3948,Pity Martinez,ATL,M,7,7,591,2,2,17,7,1,2,0,0.3,11.8,1,2,0,0.3,12,23,2,1,0,2020,reg
3949,Roger Espinoza,SKC,M,16,12,950,2,2,19,8,1,1,1,0.19,10.5,2,1,1,0.19,20,10,1,3,0,2020,reg
3950,Victor Wanyama,MTL,M,21,21,1890,2,2,22,8,0,1,1,0.1,9.1,0,0,2,0.1,36,25,1,3,0,2020,reg
3951,Brandon Vazquez,CIN,F,19,8,774,2,2,23,9,0,1,1,0.23,8.7,0,0,2,0.23,17,11,6,0,0,2020,reg
3952,Tajon Buchanan,NE,F,23,11,1084,2,2,30,12,0,1,1,0.17,6.7,0,2,0,0.17,20,37,7,1,0,2020,reg
3953,Reto Ziegler,DAL,D,19,17,1529,2,1,6,4,0,2,0,0.12,33.3,1,1,0,0.06,8,5,1,3,0,2020,reg
3954,Jeff Larentowicz,ATL,M,19,11,1111,2,1,7,2,1,1,1,0.16,28.6,0,1,0,0.08,22,9,0,2,0,2020,reg
3955,Zdenek Ondrasek,DAL,F,5,4,312,2,1,11,3,1,2,0,0.58,18.2,0,1,0,0.29,5,2,1,1,0,2020,reg
3956,Leandro Gonzalez Pirez,MIA,D,16,16,1440,2,1,11,4,2,2,0,0.13,18.2,0,0,1,0.06,29,27,1,8,0,2020,reg
3957,Omir Fernandez,RBNY,M,15,5,569,2,1,12,3,0,1,1,0.32,16.7,1,0,1,0.16,7,11,1,0,0,2020,reg
3958,Oswaldo Alanis,SJ,D,14,14,1188,2,1,13,4,0,1,1,0.15,15.4,0,1,0,0.08,7,7,0,1,0,2020,reg
3959,Marcelino Moreno,ATL,M,6,5,465,2,1,14,7,0,1,1,0.39,14.3,0,0,1,0.19,4,10,0,0,0,2020,reg
3960,Ricardo Pepi,DAL,F,17,4,458,2,1,14,6,0,1,1,0.39,14.3,1,1,0,0.2,10,4,2,0,0,2020,reg
3961,Yeimar Gomez Andrade,SEA,D,19,19,1626,2,1,16,5,1,1,1,0.11,12.5,0,0,1,0.06,20,13,0,5,0,2020,reg
3962,Luis Amarilla,MIN,F,7,5,425,2,1,16,5,2,0,2,0.42,12.5,0,0,1,0.21,5,9,2,2,0,2020,reg
3963,Abu Danladi,NSH,F,17,7,575,2,1,17,4,1,1,1,0.31,11.8,0,0,1,0.16,10,8,1,1,0,2020,reg
3964,Eddie Segura,LAFC,D,22,21,1886,2,1,17,5,1,2,0,0.1,11.8,0,0,1,0.05,17,7,0,3,0,2020,reg
3965,Niko Hansen,HOU,F,17,8,716,2,1,18,7,1,0,2,0.25,11.1,0,0,1,0.13,9,12,3,0,0,2020,reg
3966,Gary Mackay-Steven,NYC,F,22,10,956,2,1,22,15,0,1,1,0.19,9.1,0,1,0,0.09,12,10,13,1,0,2020,reg
3967,Kellyn Acosta,COL,M,15,14,1150,2,1,27,11,1,0,2,0.16,7.4,0,1,0,0.08,14,12,0,5,0,2020,reg
3968,Jozy Altidore,TOR,F,13,10,746,2,1,28,14,1,1,1,0.24,7.1,0,1,0,0.12,12,12,5,3,0,2020,reg
3969,Ike Opara,MIN,D,2,2,180,2,0,2,2,0,0,2,1.0,100.0,0,0,0,0.0,6,2,0,0,0,2020,reg
3970,Tosaint Ricketts,VAN,F,16,5,456,2,0,5,2,2,1,1,0.39,40.0,0,0,0,0.0,8,6,3,0,0,2020,reg
3971,Jake Nerwinski,VAN,D,21,18,1700,2,0,5,4,1,2,0,0.11,40.0,0,0,0,0.0,14,12,0,0,0,2020,reg
3972,Russell Canouse,DC,M,15,15,1233,2,0,5,3,0,1,1,0.15,40.0,0,0,0,0.0,26,14,0,6,1,2020,reg
3973,Griffin Yow,DC,F,12,4,391,2,0,5,5,0,1,1,0.46,40.0,0,0,0,0.0,8,11,1,0,0,2020,reg
3974,Caden Clark,RBNY,M,7,3,280,2,0,5,2,1,0,2,0.64,40.0,0,0,0,0.0,9,5,0,0,0,2020,reg
3975,Federico Higuain,MIA,F,14,0,175,2,0,6,4,0,1,1,1.03,33.3,0,0,0,0.0,2,3,1,1,0,2020,reg
3976,Frederic Brillant,DC,D,19,18,1682,2,0,6,3,1,1,1,0.11,33.3,0,0,0,0.0,15,6,0,5,1,2020,reg
3977,Aaron Long,RBNY,D,16,15,1330,2,0,6,4,2,1,1,0.14,33.3,0,0,0,0.0,15,12,0,4,0,2020,reg
3978,CJ Sapong,CHI,F,11,4,472,2,0,8,3,0,2,0,0.38,25.0,0,0,0,0.0,10,13,1,1,0,2020,reg
3979,Alexander Callens,NYC,D,22,22,1934,2,0,9,3,0,1,1,0.09,22.2,0,0,0,0.0,28,15,0,6,0,2020,reg
3980,Cory Burke,PHI,F,5,0,110,2,0,9,5,1,2,0,1.64,22.2,0,0,0,0.0,5,0,0,0,0,2020,reg
3981,Amar Sejdic,MTL,M,14,7,684,2,0,12,5,0,1,1,0.26,16.7,0,0,0,0.0,10,4,0,1,0,2020,reg
3982,Julian Carranza,MIA,F,16,5,542,2,0,12,4,0,2,0,0.33,16.7,0,0,0,0.0,21,24,5,3,0,2020,reg
3983,Jhonder Cadiz,NSH,F,7,0,219,2,0,15,6,1,1,1,0.82,13.3,0,0,0,0.0,7,7,4,0,0,2020,reg
3984,Gelmin Rivas,DC,F,13,7,502,2,0,17,5,1,0,2,0.36,11.8,0,0,0,0.0,15,4,2,0,0,2020,reg
3985,Maynor Figueroa,HOU,D,20,19,1717,2,0,19,3,0,1,1,0.1,10.5,0,0,0,0.0,29,22,0,7,0,2020,reg
3986,Ethan Zubak,LA,F,15,11,787,2,0,19,7,1,1,1,0.23,10.5,0,0,0,0.0,14,6,11,2,0,2020,reg
3987,Douglas Martinez,RSL,F,18,9,837,2,0,20,8,0,1,1,0.22,10.0,0,0,0,0.0,18,15,4,2,1,2020,reg
3988,Javier Hernandez,LA,F,12,7,758,2,0,21,7,0,2,0,0.24,9.5,0,0,0,0.0,2,14,7,0,0,2020,reg
3989,Emanuel Reynoso,MIN,M,13,9,826,1,7,22,7,0,1,0,0.11,4.5,1,7,0,0.76,23,32,0,1,0,2020,reg
3990,Diego Chara,POR,M,20,20,1799,1,6,3,1,0,1,0,0.05,33.3,1,2,4,0.3,48,38,1,8,0,2020,reg
3991,Maikel Chang,RSL,M,19,12,1107,1,6,14,4,1,0,1,0.08,7.1,1,2,4,0.49,6,11,1,1,0,2020,reg
3992,Jan Gregus,MIN,M,18,18,1599,1,6,35,8,0,0,1,0.06,2.9,0,0,6,0.34,17,13,0,1,1,2020,reg
3993,Jorge Villafaña,POR,F,19,17,1550,1,5,3,1,0,0,1,0.06,33.3,3,2,3,0.29,11,17,2,2,0,2020,reg
3994,Michael Barrios,DAL,M,21,19,1681,1,5,35,10,0,1,0,0.05,2.9,3,4,1,0.27,25,26,1,5,0,2020,reg
3995,David Milinkovic,VAN,M,16,11,902,1,4,8,3,0,0,1,0.1,12.5,1,4,0,0.4,16,13,1,0,0,2020,reg
3996,Tommy Thompson,SJ,D,20,13,1125,1,4,10,4,0,0,1,0.08,10.0,0,2,2,0.32,5,22,2,2,0,2020,reg
3997,Francisco Ginella,LAFC,M,22,14,1159,1,4,10,5,1,1,0,0.08,10.0,1,4,0,0.31,12,10,0,3,0,2020,reg
3998,Dax McCarty,NSH,M,21,19,1678,1,4,11,4,1,1,0,0.05,9.1,1,3,1,0.21,25,21,0,5,0,2020,reg
3999,Maximiliano Moralez,NYC,M,13,10,875,1,4,13,7,1,1,0,0.1,7.7,1,2,2,0.41,10,24,4,0,0,2020,reg
4000,Darwin Ceren,HOU,M,20,18,1535,1,4,14,6,0,1,0,0.06,7.1,0,2,2,0.23,24,22,1,3,0,2020,reg
4001,Latif Blessing,LAFC,F,21,18,1720,1,4,15,6,0,0,1,0.05,6.7,0,4,0,0.21,37,48,4,4,0,2020,reg
4002,Matias Pellegrini,MIA,M,19,12,965,1,4,16,5,0,0,1,0.09,6.3,0,1,3,0.37,22,28,1,2,0,2020,reg
4003,Sam Vines,COL,D,18,18,1620,1,3,3,1,0,0,1,0.06,33.3,1,2,1,0.17,7,9,0,0,0,2020,reg
