Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,GWG,PKG/A,HmG,RdG,G/90min,SC%,GWA,HmA,RdA,A/90min,FC,FS,OFF,YC,RC,SOG%,Year,Season
Michael Ritch,,F,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2004,post
Brian Roberts,,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2004,post
David Stokes,,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2004,post
Gary Sullivan,,D,2,0,14,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2004,post
Fabian Taylor,,F,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2004,post
David Testo,,M-F,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2004,post
Bobby Thompson,,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2004,post
Jason Thompson,,F,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2004,post
Roger Levesque,,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2004,post
Josh Gardner,,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2004,post
Chris Aloisi,,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2004,post
Kevin Ara,,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2004,post
Kenny Arena,,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2004,post
Richie Baker,,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2004,post
Perek Belleh,,F,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2004,post
Justin Detter,,F,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2004,post
Tighe Dombrowski,,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2004,post
Michael Erush,,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2004,post
Gilberto Flores,,M,1,1,30,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,2,3,0,1,0,,2004,post
Antonio de la Torre,,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2004,post
Tim Lawson,,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2004,post
Seth Stammler,,M-D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2004,post
Todd Dunivant,,D,2,2,180,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,2,0,0,0,,2004,post
Tim Regan,,D,1,1,75,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,3,1,0,0,0,,2004,post
Taylor Graham,,D,2,0,31,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,1,0,0,0,0,,2004,post
Shavar Thomas,,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2004,post
Alan Gordon,,F,1,0,2,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2004,post
Arturo Alvarez,,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2004,post
Ryan Cochrane,,D,2,2,180,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,3,1,0,0,0,,2004,post
Jamil Walker,,M-F,1,0,4,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2004,post
Ned Grabavoy,,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2004,post
Michael Bradley,,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2004,post
Felix Brillant,,M-F,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2004,post
Chad Marshall,,D,2,2,180,0,0,1,0,0,0/0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,2004,post
Joseph Ngwenya,,F,1,1,57,0,0,1,0,0,0/0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,2004,post
Matt Taylor,,F,1,0,23,0,0,1,1,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,2004,post
Jeff Parke,,D,2,2,180,0,0,1,1,0,0/0,0,0,0,0,0,0,0,0,0,1,0,0,0,100,2004,post
Ricky Lewis,,D,2,2,167,0,0,1,0,0,0/0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,2004,post
Alberto Delgado,,F,1,0,12,0,0,1,0,0,0/0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2004,post
Sergio Galvan Rey,,F,2,0,70,0,0,1,1,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,2004,post
Jordan Cila,,F-M,2,2,163,0,0,1,0,0,0/0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,2004,post
Matt Crawford,,M,2,2,180,0,0,1,0,0,0/0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,2004,post
Arturo Torres,,F,2,0,67,0,0,1,0,0,0/0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,2004,post
Diego Walsh,,M,3,0,22,0,0,1,0,0,0/0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2004,post
Chris Henderson,,M,2,2,179,0,0,1,0,0,0/0,0,0,0,0,0,0,0,0,6,1,1,0,0,0,2004,post
Ian Russell,,D,2,1,117,0,0,1,0,0,0/0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,2004,post
Shalrie Joseph,,M,3,3,300,0,0,1,1,0,0/0,0,0,0,0,0,0,0,0,7,7,0,2,0,100,2004,post
Kyle Martino,,M,2,2,159,0,0,1,1,0,0/0,0,0,0,0,0,0,0,0,2,8,0,1,0,100,2004,post
Duncan Oughton,,D,2,2,180,0,0,1,0,0,0/0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,2004,post
Pablo Mastroeni,,M,2,2,180,0,0,1,0,0,0/0,0,0,0,0,0,0,0,0,3,4,0,1,0,0,2004,post
Mike Petke,,D,4,4,390,0,0,1,0,0,0/0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,2004,post
Frankie Hejduk,,D,2,2,180,0,0,2,0,0,0/0,0,0,0,0,0,0,0,0,3,4,0,1,0,0,2004,post
Peter Vagenas,,M,3,3,270,0,0,2,0,0,0/0,0,0,0,0,0,0,0,0,5,3,0,1,0,0,2004,post
Sasha Victorine,,M,3,3,261,0,0,2,1,0,0/0,0,0,0,0,0,0,0,0,3,5,0,0,0,50,2004,post
Richard Mulrooney,,M,1,1,90,0,0,2,2,0,0/0,0,0,0,0,0,0,0,0,2,3,0,0,0,100,2004,post
Eddie Gaven,,M,2,2,180,0,0,2,1,0,0/0,0,0,0,0,0,0,0,0,2,5,0,0,0,50,2004,post
Mark Chung,,M,2,2,180,0,0,2,2,0,0/0,0,0,0,0,0,0,0,0,1,4,0,0,0,100,2004,post
Danny Califf,,D,3,3,258,0,0,2,1,0,0/0,0,0,0,0,0,0,0,0,2,2,0,1,0,50,2004,post
Simon Elliott,,M,2,2,153,0,0,2,1,0,0/0,0,0,0,0,0,0,0,0,1,3,0,0,0,50,2004,post
Chris Wingert,,D,2,2,134,0,0,2,1,0,0/0,0,0,0,0,0,0,0,0,0,3,0,0,0,50,2004,post
Marcelo Saragosa,,M,3,3,242,0,0,2,1,0,0/0,0,0,0,0,0,0,0,0,8,7,0,0,0,50,2004,post
Danny Szetela,,M,2,0,22,0,0,2,1,0,0/0,0,0,0,0,0,0,0,0,1,0,0,0,0,50,2004,post
Ricardo Clark,,M,2,2,180,0,0,2,0,0,0/0,0,0,0,0,0,0,0,0,5,6,0,1,0,0,2004,post
Ramiro Corrales,,M,2,2,179,0,0,2,1,0,0/0,0,0,0,0,0,0,0,0,4,2,1,0,0,50,2004,post
Pablo Brenes,,M-D,2,2,170,0,0,3,2,0,0/0,0,0,0,0,0,0,0,0,1,1,1,0,0,66.67,2004,post
Jose Cancela,,M,3,3,221,0,0,3,1,0,0/0,0,0,0,0,0,0,0,0,0,8,0,0,0,33.33,2004,post
Diego Gutierrez,,D,4,4,360,0,0,3,1,0,0/0,0,0,0,0,0,0,0,0,10,8,0,2,0,33.33,2004,post
Kerry Zavagnin,,M,4,4,356,0,0,3,2,0,0/0,0,0,0,0,0,0,0,0,4,2,0,0,0,66.67,2004,post
Kyle Beckerman,,M,2,2,145,0,0,3,2,0,0/0,0,0,0,0,0,0,0,0,4,2,0,1,0,66.67,2004,post
John Wolyniec,,F,2,2,135,0,0,4,1,0,0/0,0,0,0,0,0,0,0,0,2,0,1,0,0,25,2004,post
Cornell Glen,,F,2,1,125,0,0,4,3,0,0/0,0,0,0,0,0,0,0,0,4,7,2,0,0,75,2004,post
Amado Guevara,,M,2,2,180,0,0,6,4,0,0/0,0,0,0,0,0,0,0,0,5,5,0,1,0,66.67,2004,post
Jimmy Conrad,,D,4,4,360,0,0,6,2,0,0/0,0,0,0,0,0,0,0,0,7,11,0,0,0,33.33,2004,post
Dema Kovalenko,,M,3,3,237,0,0,7,2,0,0/0,0,0,0,0,0,0,0,0,7,3,0,2,1,28.57,2004,post
Brian Ching,,F,2,2,180,0,0,8,4,0,0/0,0,0,0,0,0,0,0,0,10,6,5,0,0,50,2004,post
