Player,Club,POS,GP,GS,SHTS,SV,GA,W,L,T,ShO,W%,Sv%,Year,Season
Luis Robles,MIA,GK,33,33,138,88,50,13,14,6,9,39.4,63.8,2019,reg
David Bingham,LA,GK,33,33,195,141,55,16,14,3,8,48.5,72.3,2019,reg
Tim Melia,SKC,GK,32,32,173,111,60,10,15,7,6,31.3,64.2,2019,reg
Evan Bush,MTL,GK,32,32,144,84,59,11,17,4,7,34.4,58.3,2019,reg
Brian Rowe ,ORL,GK,32,32,160,110,49,9,14,9,7,28.1,68.8,2019,reg
Jesse Gonzalez,DAL,GK,32,32,128,84,42,13,11,8,8,40.6,65.6,2019,reg
Sean Johnson,NYC,GK,29,29,116,78,36,14,5,10,7,48.3,67.2,2019,reg
Nick Rimando,RSL,GK,29,29,113,75,35,14,11,4,10,48.3,66.4,2019,reg
Quentin Westberg,TOR,GK,28,28,115,75,41,9,9,9,4,32.1,65.2,2019,reg
Tyler Miller,MIN,GK,28,28,103,72,28,18,2,8,9,64.3,69.9,2019,reg
Joe Willis,NSH,GK,27,27,133,88,44,10,13,4,3,37,66.2,2019,reg
Andre Blake,PHI,GK,26,26,103,59,41,11,10,5,3,42.3,57.3,2019,reg
Maxime Crepeau,VAN,GK,26,26,159,114,46,7,13,6,5,26.9,71.7,2019,reg
Tim Howard,COL,GK,25,25,117,73,46,8,12,4,5,32,62.4,2019,reg
Steve Clark,POR,GK,24,24,109,84,25,13,6,5,6,54.2,77.1,2019,reg
Matt Turner,NE,GK,20,20,116,87,27,8,4,7,5,40,75,2019,reg
Kenneth Kronholm,CHI,GK,20,20,87,58,27,6,6,8,5,30,66.7,2019,reg
Spencer Richey,CIN,GK,19,19,106,61,45,5,12,2,2,26.3,57.5,2019,reg
Przemyslaw Tyton,CIN,GK,15,15,62,32,30,1,10,4,3,6.7,51.6,2019,reg
David Ousted,CHI,GK,14,14,56,34,20,4,6,4,4,28.6,60.7,2019,reg
Zack Steffen,CLB,GK,13,13,56,39,17,5,6,2,4,38.5,69.6,2019,reg
Eloy Room,CLB,GK,12,12,47,33,14,5,2,5,1,41.7,70.2,2019,reg
Clint Irwin,COL,GK,11,9,58,42,17,4,4,2,1,36.4,72.4,2019,reg
Jeff Attinella,POR,GK,10,10,64,40,24,1,7,2,0,10,62.5,2019,reg
Brad Knighton,NE,GK,8,7,29,16,13,1,3,4,0,12.5,55.2,2019,reg
Zac MacMath,RSL,GK,8,8,52,37,13,1,3,4,0,12.5,71.2,2019,reg
Alex Bono,TOR,GK,7,6,28,16,11,4,1,2,1,57.1,57.1,2019,reg
Cody Cropper,HOU,GK,7,7,49,29,17,2,4,1,1,28.6,59.2,2019,reg
Tyler Deric,HOU,GK,7,7,36,19,15,2,5,0,0,28.6,52.8,2019,reg
Matt Freese,PHI,GK,6,5,23,13,7,1,1,2,0,16.7,56.5,2019,reg
Joe Bendik,PHI,GK,6,6,27,14,12,0,5,1,0,0,51.9,2019,reg
Pablo Sisniega,LAFC,GK,6,6,26,17,9,3,2,1,0,50,65.4,2019,reg
Andrew Putna,RSL,GK,5,5,19,12,6,2,2,1,2,40,63.2,2019,reg
Brad Stuver,NYC,GK,5,5,14,10,6,4,1,0,1,80,71.4,2019,reg
Carlos Miguel Coronel,PHI,GK,4,3,11,9,2,4,0,0,1,100,81.8,2019,reg
Jon Kempin,CLB,GK,3,3,8,4,4,0,3,0,0,0,50,2019,reg
Jimmy Maurer,DAL,GK,2,2,12,8,4,0,1,1,0,0,66.7,2019,reg
Clement Diop,MTL,GK,2,2,7,6,1,1,0,1,1,50,85.7,2019,reg
Greg Ranjitsingh,MIN,GK,2,2,7,4,3,0,1,1,0,0,57.1,2019,reg
Adrian Zendejas,NSH,GK,1,1,4,3,1,0,0,1,0,0,75,2019,reg
Eric Dick,SKC,GK,1,1,9,3,6,0,1,0,0,0,33.3,2019,reg
Matt Lampson,CLB,GK,1,1,7,3,4,0,1,0,0,0,42.9,2019,reg
Ryan Meara,RBNY,GK,1,1,5,4,1,1,0,0,0,100,80,2019,reg
Chris Seitz,DC,GK,1,1,3,2,1,1,0,0,0,100,66.7,2019,reg
Bobby Shuttleworth,CHI,GK,0,0,0,0,0,0,0,0,0,0,0,2019,reg
Caleb Patterson-Sewell,TOR,GK,0,0,0,0,0,0,0,0,0,0,0,2019,reg
Bryan Meredith,VAN,GK,0,0,0,0,0,0,0,0,0,0,0,2019,reg
Earl Edwards Jr.,DC,GK,0,0,0,0,0,0,0,0,0,0,0,2019,reg
Aljaz Ivacic,POR,GK,0,0,0,0,0,0,0,0,0,0,0,2019,reg
Sean Melvin,VAN,GK,0,0,0,0,0,0,0,0,0,0,0,2019,reg
Richard Sanchez,SKC,GK,0,0,0,0,0,0,0,0,0,0,0,2019,reg
Alex Horwath,RSL,GK,0,0,0,0,0,0,0,0,0,0,0,2019,reg
Ben Lundgaard,CLB,GK,0,0,0,0,0,0,0,0,0,0,0,2019,reg
Michael Nelson,HOU,GK,0,0,0,0,0,0,0,0,0,0,0,2019,reg
Jason Beaulieu,MTL,GK,0,0,0,0,0,0,0,0,0,0,0,2019,reg
Phillip Ejimadu,LAFC,GK,0,0,0,0,0,0,0,0,0,0,0,2019,reg
Gabriel Slonina,CHI,GK,0,0,0,0,0,0,0,0,0,0,0,2019,reg
Jimmy Hague,CIN,GK,0,0,0,0,0,0,0,0,0,0,0,2019,reg
Stefan Cleveland,SEA,GK,0,0,0,0,0,0,0,0,0,0,0,2019,reg
Mason Stajduhar,ORL,GK,0,0,0,0,0,0,0,0,0,0,0,2019,reg
Andrew Tarbell,CLB,GK,0,0,0,0,0,0,0,0,0,0,0,2019,reg
Andre Rawls,COL,GK,0,0,0,0,0,0,0,0,0,0,0,2019,reg
Trey Muse,SEA,GK,0,0,0,0,0,0,0,0,0,0,0,2019,reg
James Pantemis,MTL,GK,0,0,0,0,0,0,0,0,0,0,0,2019,reg
Luis Barraza,NYC,GK,0,0,0,0,0,0,0,0,0,0,0,2019,reg
Evan Louro,NY,GK,0,0,0,0,0,0,0,0,0,0,0,2019,reg
Dayne St. Clair,MIN,GK,0,0,0,0,0,0,0,0,0,0,0,2019,reg
Justin Vom Steeg,LA,GK,0,0,0,0,0,0,0,0,0,0,0,2019,reg
Kyle Zobeck,DAL,GK,0,0,0,0,0,0,0,0,0,0,0,2019,reg
Alec Kann,ATL,GK,0,0,0,0,0,0,0,0,0,0,0,2019,reg
Kendall McIntosh,RBNY,GK,0,0,0,0,0,0,0,0,0,0,0,2019,reg
Matt Bersano,SJ,GK,0,0,0,0,0,0,0,0,0,0,0,2019,reg
Brendan Moore,ATL,GK,0,0,0,0,0,0,0,0,0,0,0,2019,reg
Jeff Caldwell,NE,GK,0,0,0,0,0,0,0,0,0,0,0,2019,reg
Adam Grinwis,ORL,GK,0,0,0,0,0,0,0,0,0,0,0,2019,reg
Thomas Hasal,VAN,GK,0,0,0,0,0,0,0,0,0,0,0,2019,reg
David Ochoa,RSL,GK,0,0,0,0,0,0,0,0,0,0,0,2019,reg
Mark Simpson,,GK,6,6,28,21,7,5,0,0,1,83.3,75,1996,post
Jorge Campos,,GK,6,6,35,25,6,2,2,0,1,33.3,71.4,1996,post
Garth Lagerwey,,GK,5,5,31,18,9,2,3,0,0,40,58.1,1996,post
Mark Dougherty,,GK,4,4,17,10,7,2,2,0,1,50,58.8,1996,post
David Kramer,,GK,3,0,3,2,0,2,0,0,1,66.7,66.7,1996,post
Mark Dodd,,GK,3,3,29,19,6,1,2,0,0,33.3,65.5,1996,post
Brad Friedel,,GK,3,3,22,14,7,1,2,0,0,33.3,63.6,1996,post
Tony Meola,,GK,3,3,25,19,5,1,2,0,0,33.3,76,1996,post
Dave Salzwedel,,GK,3,3,22,18,4,1,2,0,1,33.3,81.8,1996,post
Jeff Causey,,GK,1,0,0,0,0,0,1,0,0,0,0,1996,post
Scott Budnick,,GK,1,1,6,4,2,0,1,0,0,0,66.7,1996,post
Mark Simpson,,GK,6,6,28,21,7,5,0,0,1,83.3,75,1996,post
Jorge Campos,,GK,6,6,35,25,6,2,2,0,1,33.3,71.4,1996,post
Garth Lagerwey,,GK,5,5,31,18,9,2,3,0,0,40,58.1,1996,post
Mark Dougherty,,GK,4,4,17,10,7,2,2,0,1,50,58.8,1996,post
David Kramer,,GK,3,0,3,2,0,2,0,0,1,66.7,66.7,1996,post
Mark Dodd,,GK,3,3,29,19,6,1,2,0,0,33.3,65.5,1996,post
Brad Friedel,,GK,3,3,22,14,7,1,2,0,0,33.3,63.6,1996,post
Tony Meola,,GK,3,3,25,19,5,1,2,0,0,33.3,76,1996,post
Dave Salzwedel,,GK,3,3,22,18,4,1,2,0,1,33.3,81.8,1996,post
Jeff Causey,,GK,1,0,0,0,0,0,1,0,0,0,0,1996,post
Scott Budnick,,GK,1,1,6,4,2,0,1,0,0,0,66.7,1996,post
Scott Garlick,,GK,5,5,33,26,5,4,0,0,1,80,78.8,1997,post
Marcus Hahnemann,,GK,5,5,28,23,5,4,1,0,2,80,82.1,1997,post
Mark Dodd,,GK,4,4,13,8,3,2,2,0,2,50,61.5,1997,post
Brad Friedel,,GK,4,4,25,20,5,2,2,0,1,50,80,1997,post
Mike Ammann,,GK,2,2,15,9,6,0,2,0,0,0,60,1997,post
Kevin Hartman,,GK,2,2,8,4,3,0,2,0,1,0,50,1997,post
Walter Zenga,,GK,2,2,14,7,5,0,2,0,0,0,50,1997,post
Tom Presthus,,GK,1,0,0,0,0,1,0,0,0,100,0,1997,post
Scott Budnick,,GK,1,1,4,2,2,0,1,0,0,0,50,1997,post
Mark Dougherty,,GK,1,1,4,2,2,0,1,0,0,0,50,1997,post
Garth Lagerwey,,GK,0,0,0,0,0,0,0,0,0,0,0,1997,post
Chris Snitko,,GK,0,0,0,0,0,0,0,0,0,0,0,1997,post
Jeff Causey,,GK,0,0,0,0,0,0,0,0,0,0,0,1997,post
Paul Grafer,,GK,0,0,0,0,0,0,0,0,0,0,0,1997,post
Jorge Campos,,GK,0,0,0,0,0,0,0,0,0,0,0,1997,post
Tom Presthus,,GK,6,6,26,18,7,4,2,0,3,66.7,69.2,1998,post
Zach Thornton,,GK,5,5,22,20,2,5,0,0,3,100,90.9,1998,post
Juergen Sommer,,GK,5,5,29,17,11,3,2,0,0,60,58.6,1998,post
Kevin Hartman,,GK,4,4,21,15,5,2,2,0,0,50,71.4,1998,post
Mark Dodd,,GK,2,2,18,9,9,0,2,0,0,0,50,1998,post
Jeff Cassar,,GK,2,2,7,3,2,0,2,0,1,0,42.9,1998,post
Tony Meola,,GK,2,2,10,4,6,0,2,0,0,0,40,1998,post
Marcus Hahnemann,,GK,2,2,13,11,2,0,2,0,0,0,84.6,1998,post
Tim Howard,,GK,0,0,0,0,0,0,0,0,0,0,0,1998,post
Scott Garlick,,GK,0,0,0,0,0,0,0,0,0,0,0,1998,post
Matt Jordan,,GK,0,0,0,0,0,0,0,0,0,0,0,1998,post
Mark Dougherty,,GK,0,0,0,0,0,0,0,0,0,0,0,1998,post
Dusty Hudock,,GK,0,0,0,0,0,0,0,0,0,0,0,1998,post
Garth Lagerwey,,GK,0,0,0,0,0,0,0,0,0,0,0,1998,post
Matt Napoleon,,GK,0,0,0,0,0,0,0,0,0,0,0,1998,post
Mark Simpson,,GK,0,0,0,0,0,0,0,0,0,0,0,1998,post
David Winner,,GK,0,0,0,0,0,0,0,0,0,0,0,1998,post
Matt Reis,,GK,0,0,0,0,0,0,0,0,0,0,0,1998,post
Scott Budnick,,GK,0,0,0,0,0,0,0,0,0,0,0,1998,post
Randy Dedini,,GK,0,0,0,0,0,0,0,0,0,0,0,1998,post
Tom Presthus,,GK,6,6,25,17,6,5,1,0,4,83.3,68,1999,post
Kevin Hartman,,GK,6,6,32,25,6,4,2,0,2,66.7,78.1,1999,post
Mark Dougherty,,GK,5,5,27,17,7,3,2,0,2,60,63,1999,post
Matt Jordan,,GK,4,4,16,8,8,2,2,0,0,50,50,1999,post
Mark Dodd,,GK,3,2,15,9,6,1,1,0,0,33.3,60,1999,post
Zach Thornton,,GK,3,3,15,10,5,1,2,0,1,33.3,66.7,1999,post
Scott Garlick,,GK,2,2,11,7,4,0,2,0,0,0,63.6,1999,post
Ian Feuer,,GK,2,2,13,7,5,0,2,0,0,0,53.8,1999,post
Jeff Cassar,,GK,2,2,11,9,2,0,2,0,1,0,81.8,1999,post
Greg Sutton,,GK,0,0,0,0,0,0,0,0,0,0,0,1999,post
Andy Kirk,,GK,0,0,0,0,0,0,0,0,0,0,0,1999,post
Garth Lagerwey,,GK,0,0,0,0,0,0,0,0,0,0,0,1999,post
Matt Napoleon,,GK,0,0,0,0,0,0,0,0,0,0,0,1999,post
Matt Nyman,,GK,0,0,0,0,0,0,0,0,0,0,0,1999,post
Russell Payne,,GK,0,0,0,0,0,0,0,0,0,0,0,1999,post
Mark Simpson,,GK,0,0,0,0,0,0,0,0,0,0,0,1999,post
David Winner,,GK,0,0,0,0,0,0,0,0,0,0,0,1999,post
Zach Thornton,,GK,7,7,42,29,8,4,3,0,2,57.1,69,2000,post
Tony Meola,,GK,7,7,34,30,4,4,1,2,5,57.1,88.2,2000,post
Kevin Hartman,,GK,5,5,25,20,5,2,1,1,1,40,80,2000,post
Jeff Causey,,GK,3,3,15,6,9,1,2,0,0,33.3,40,2000,post
David Kramer,,GK,3,3,19,15,4,0,2,1,1,0,78.9,2000,post
Paul Grafer,,GK,3,3,14,8,5,2,1,0,0,66.7,57.1,2000,post
Scott Garlick,,GK,2,2,13,6,6,0,2,0,0,0,46.2,2000,post
Mike Ammann,,GK,2,2,13,7,3,1,1,0,1,50,53.8,2000,post
Matt Jordan,,GK,2,2,12,7,4,0,2,0,0,0,58.3,2000,post
Matt Reis,,GK,1,0,0,0,0,1,0,0,1,100,0,2000,post
Bo Oshoniyi,,GK,0,0,0,0,0,0,0,0,0,0,0,2000,post
Adin Brown,,GK,0,0,0,0,0,0,0,0,0,0,0,2000,post
Tim Howard,,GK,0,0,0,0,0,0,0,0,0,0,0,2000,post
Rich Cullen,,GK,0,0,0,0,0,0,0,0,0,0,0,2000,post
Andy Kirk,,GK,0,0,0,0,0,0,0,0,0,0,0,2000,post
Johann Noetzel,,GK,0,0,0,0,0,0,0,0,0,0,0,2000,post
Matt Nyman,,GK,0,0,0,0,0,0,0,0,0,0,0,2000,post
Russell Payne,,GK,0,0,0,0,0,0,0,0,0,0,0,2000,post
Chris Snitko,,GK,0,0,0,0,0,0,0,0,0,0,0,2000,post
David Winner,,GK,0,0,0,0,0,0,0,0,0,0,0,2000,post
Kevin Hartman,,GK,7,7,32,19,11,3,2,2,1,42.9,59.4,2001,post
Nick Rimando,,GK,6,6,36,26,9,3,3,0,2,50,72.2,2001,post
Joe Cannon,,GK,6,6,22,18,3,5,1,0,3,83.3,81.8,2001,post
Zach Thornton,,GK,6,6,29,23,5,2,2,2,2,33.3,79.3,2001,post
Tony Meola,,GK,3,3,14,9,4,1,2,0,1,33.3,64.3,2001,post
Matt Jordan,,GK,3,3,20,14,5,0,2,1,0,0,70,2001,post
Tim Howard,,GK,3,3,25,16,6,1,1,1,0,33.3,64,2001,post
Tom Presthus,,GK,2,2,14,8,6,0,2,0,0,0,57.1,2001,post
Jeff Cassar,,GK,1,0,1,1,0,0,0,0,0,0,100,2001,post
Jon Busch,,GK,0,0,0,0,0,0,0,0,0,0,0,2001,post
Henry Ring,,GK,0,0,0,0,0,0,0,0,0,0,0,2001,post
Paul Grafer,,GK,0,0,0,0,0,0,0,0,0,0,0,2001,post
Bo Oshoniyi,,GK,0,0,0,0,0,0,0,0,0,0,0,2001,post
Matt Reis,,GK,0,0,0,0,0,0,0,0,0,0,0,2001,post
Jon Conway,,GK,0,0,0,0,0,0,0,0,0,0,0,2001,post
Alex Deegan,,GK,0,0,0,0,0,0,0,0,0,0,0,2001,post
Mark Dougherty,,GK,0,0,0,0,0,0,0,0,0,0,0,2001,post
Adin Brown,,GK,7,7,51,42,5,3,2,2,4,42.9,82.4,2002,post
Kevin Hartman,,GK,6,6,29,20,8,5,1,0,3,83.3,69,2002,post
David Kramer,,GK,5,5,33,21,10,1,3,1,1,20,63.6,2002,post
Jon Busch,,GK,5,5,27,21,5,2,1,2,1,40,77.8,2002,post
Zach Thornton,,GK,3,3,11,6,5,1,2,0,0,33.3,54.5,2002,post
Tony Meola,,GK,3,3,22,13,9,1,2,0,0,33.3,59.1,2002,post
Matt Jordan,,GK,3,3,18,13,5,1,1,1,0,33.3,72.2,2002,post
Joe Cannon,,GK,2,2,15,10,4,0,2,0,0,0,66.7,2002,post
Jon Conway,,GK,0,0,0,0,0,0,0,0,0,0,0,2002,post
Matt Napoleon,,GK,0,0,0,0,0,0,0,0,0,0,0,2002,post
Scott Vallow,,GK,0,0,0,0,0,0,0,0,0,0,0,2002,post
Bo Oshoniyi,,GK,0,0,0,0,0,0,0,0,0,0,0,2002,post
Matt Reis,,GK,0,0,0,0,0,0,0,0,0,0,0,2002,post
Juergen Sommer,,GK,0,0,0,0,0,0,0,0,0,0,0,2002,post
Tom Presthus,,GK,0,0,0,0,0,0,0,0,0,0,0,2002,post
Henry Ring,,GK,0,0,0,0,0,0,0,0,0,0,0,2002,post
Zach Thornton,,GK,4,4,15,11,4,3,1,0,3,75,73.3,2003,post
Pat Onstad,,GK,4,4,25,17,8,3,1,0,0,75,68,2003,post
Adin Brown,,GK,3,3,21,17,2,1,1,1,1,33.3,81,2003,post
Tony Meola,,GK,3,3,14,10,4,1,1,1,1,33.3,71.4,2003,post
Doug Warren,,GK,2,2,12,8,4,0,2,0,0,0,66.7,2003,post
Jonny Walker,,GK,2,2,9,6,3,0,1,1,0,0,66.7,2003,post
Joe Cannon,,GK,2,2,10,6,3,0,1,1,0,0,60,2003,post
Kevin Hartman,,GK,2,2,13,8,5,1,1,0,1,50,61.5,2003,post
Matt Reis,,GK,0,0,0,0,0,0,0,0,0,0,0,2003,post
Scott Garlick,,GK,0,0,0,0,0,0,0,0,0,0,0,2003,post
Bo Oshoniyi,,GK,0,0,0,0,0,0,0,0,0,0,0,2003,post
Henry Ring,,GK,0,0,0,0,0,0,0,0,0,0,0,2003,post
Paul Grafer,,GK,0,0,0,0,0,0,0,0,0,0,0,2003,post
Josh Saunders,,GK,0,0,0,0,0,0,0,0,0,0,0,2003,post
Clint Baumstark,,GK,0,0,0,0,0,0,0,0,0,0,0,2003,post
Dan Popik,,GK,0,0,0,0,0,0,0,0,0,0,0,2003,post
Kyle Singer,,GK,0,0,0,0,0,0,0,0,0,0,0,2003,post
Curtis Spiteri,,GK,0,0,0,0,0,0,0,0,0,0,0,2003,post
Scott Vallow,,GK,0,0,0,0,0,0,0,0,0,0,0,2003,post
Jon Conway,,GK,0,0,0,0,0,0,0,0,0,0,0,2003,post
Bo Oshoniyi,,GK,4,4,18,14,5,2,2,0,2,50,77.8,2004,post
Nick Rimando,,GK,4,4,29,22,5,3,0,1,2,75,75.9,2004,post
Kevin Hartman,,GK,3,3,13,10,3,1,2,0,1,33.3,76.9,2004,post
Matt Reis,,GK,3,3,17,12,4,1,0,2,1,33.3,70.6,2004,post
Joe Cannon,,GK,2,2,10,8,2,1,1,0,1,50,80,2004,post
Jon Busch,,GK,2,2,8,6,2,0,1,1,0,0,75,2004,post
Pat Onstad,,GK,2,2,8,5,3,1,1,0,1,50,62.5,2004,post
Jonny Walker,,GK,2,2,12,8,4,0,2,0,0,0,66.7,2004,post
William Hesmer,,GK,0,0,0,0,0,0,0,0,0,0,0,2004,post
Troy Perkins,,GK,0,0,0,0,0,0,0,0,0,0,0,2004,post
Zach Wells,,GK,0,0,0,0,0,0,0,0,0,0,0,2004,post
Steve Cronin,,GK,0,0,0,0,0,0,0,0,0,0,0,2004,post
Dan Popik,,GK,0,0,0,0,0,0,0,0,0,0,0,2004,post
Scott Vallow,,GK,0,0,0,0,0,0,0,0,0,0,0,2004,post
Tony Meola,,GK,0,0,0,0,0,0,0,0,0,0,0,2004,post
Matt Jordan,,GK,0,0,0,0,0,0,0,0,0,0,0,2004,post
Jon Conway,,GK,0,0,0,0,0,0,0,0,0,0,0,2004,post
Doug Warren,,GK,0,0,0,0,0,0,0,0,0,0,0,2004,post
Kevin Hartman,,GK,4,4,18,16,2,3,0,1,2,75,88.9,2005,post
Matt Reis,,GK,4,4,27,22,3,2,2,0,1,50,81.5,2005,post
Zach Thornton,,GK,3,3,5,4,1,1,1,1,2,33.3,80,2005,post
Joe Cannon,,GK,3,3,20,16,4,0,1,2,1,0,80,2005,post
Pat Onstad,,GK,2,2,8,4,4,0,1,1,0,0,50,2005,post
Tony Meola,,GK,2,2,15,11,3,1,1,0,1,50,73.3,2005,post
Nick Rimando,,GK,2,2,11,5,4,0,1,1,1,0,45.5,2005,post
Scott Garlick,,GK,2,2,8,6,2,0,0,2,1,0,75,2005,post
Jeff Cassar,,GK,0,0,0,0,0,0,0,0,0,0,0,2005,post
Jon Conway,,GK,0,0,0,0,0,0,0,0,0,0,0,2005,post
Doug Warren,,GK,0,0,0,0,0,0,0,0,0,0,0,2005,post
David Mahoney,,GK,0,0,0,0,0,0,0,0,0,0,0,2005,post
Matt Pickens,,GK,0,0,0,0,0,0,0,0,0,0,0,2005,post
Troy Perkins,,GK,0,0,0,0,0,0,0,0,0,0,0,2005,post
Bouna Coundoul,,GK,0,0,0,0,0,0,0,0,0,0,0,2005,post
Dario Sala,,GK,0,0,0,0,0,0,0,0,0,0,0,2005,post
Zach Wells,,GK,0,0,0,0,0,0,0,0,0,0,0,2005,post
Steve Cronin,,GK,0,0,0,0,0,0,0,0,0,0,0,2005,post
Josh Saunders,,GK,0,0,0,0,0,0,0,0,0,0,0,2005,post
Andrew Weber,,GK,0,0,0,0,0,0,0,0,0,0,0,2005,post
Clint Baumstark,,GK,0,0,0,0,0,0,0,0,0,0,0,2005,post
Byron Foss,,GK,0,0,0,0,0,0,0,0,0,0,0,2005,post
Robby Fulton,,GK,0,0,0,0,0,0,0,0,0,0,0,2005,post
Chris Gomez,,GK,0,0,0,0,0,0,0,0,0,0,0,2005,post
T.J. Tomasso,,GK,0,0,0,0,0,0,0,0,0,0,0,2005,post
Michael Ueltschey,,GK,0,0,0,0,0,0,0,0,0,0,0,2005,post
Pat Onstad,,GK,4,4,14,9,4,2,1,1,1,50,64.3,2006,post
Matt Reis,,GK,4,4,20,17,3,2,1,1,1,50,85,2006,post
Troy Perkins,,GK,3,3,8,6,2,1,1,1,1,33.3,75,2006,post
Joe Cannon,,GK,3,3,13,6,7,1,2,0,0,33.3,46.2,2006,post
Jon Conway,,GK,2,2,7,5,2,0,1,1,0,0,71.4,2006,post
Brad Guzan,,GK,2,2,14,11,3,1,1,0,0,50,78.6,2006,post
Matt Pickens,,GK,2,2,18,16,2,1,1,0,1,50,88.9,2006,post
Dario Sala,,GK,2,2,16,12,4,1,1,0,0,50,75,2006,post
Zach Wells,,GK,0,0,0,0,0,0,0,0,0,0,0,2006,post
Shaka Hislop,,GK,0,0,0,0,0,0,0,0,0,0,0,2006,post
Bouna Coundoul,,GK,0,0,0,0,0,0,0,0,0,0,0,2006,post
Ray Burse,,GK,0,0,0,0,0,0,0,0,0,0,0,2006,post
Preston Burpo,,GK,0,0,0,0,0,0,0,0,0,0,0,2006,post
Michael Behonick,,GK,0,0,0,0,0,0,0,0,0,0,0,2006,post
Peter Dzubay,,GK,0,0,0,0,0,0,0,0,0,0,0,2006,post
Martin Hutton,,GK,0,0,0,0,0,0,0,0,0,0,0,2006,post
Ryan McIntosh,,GK,0,0,0,0,0,0,0,0,0,0,0,2006,post
T.J. Tomasso,,GK,0,0,0,0,0,0,0,0,0,0,0,2006,post
Doug Warren,,GK,0,0,0,0,0,0,0,0,0,0,0,2006,post
David Mahoney,,GK,0,0,0,0,0,0,0,0,0,0,0,2006,post
Jeff Cassar,,GK,0,0,0,0,0,0,0,0,0,0,0,2006,post
Tony Meola,,GK,0,0,0,0,0,0,0,0,0,0,0,2006,post
Nick Rimando,,GK,0,0,0,0,0,0,0,0,0,0,0,2006,post
Zach Thornton,,GK,0,0,0,0,0,0,0,0,0,0,0,2006,post
Matt Jordan,,GK,0,0,0,0,0,0,0,0,0,0,0,2006,post
Matt Reis,,GK,4,4,27,24,2,2,1,1,3,50,88.9,2007,post
Pat Onstad,,GK,4,4,14,11,3,3,1,0,1,75,78.6,2007,post
Matt Pickens,,GK,3,3,14,10,3,1,1,1,1,33.3,71.4,2007,post
Kevin Hartman,,GK,3,3,17,14,2,1,1,1,2,33.3,82.4,2007,post
Dario Sala,,GK,2,2,8,8,0,1,0,0,1,50,100,2007,post
Brad Guzan,,GK,2,2,6,5,1,0,1,1,1,0,83.3,2007,post
Jon Conway,,GK,2,2,9,8,1,0,1,1,1,0,88.9,2007,post
Troy Perkins,,GK,2,2,9,5,3,0,1,1,0,0,55.6,2007,post
Ray Burse,,GK,1,0,9,5,4,0,1,0,0,0,55.6,2007,post
Nick Noble,,GK,0,0,0,0,0,0,0,0,0,0,0,2007,post
Preston Burpo,,GK,0,0,0,0,0,0,0,0,0,0,0,2007,post
Justin Myers,,GK,0,0,0,0,0,0,0,0,0,0,0,2007,post
Zach Wells,,GK,0,0,0,0,0,0,0,0,0,0,0,2007,post
Jordan James,,GK,0,0,0,0,0,0,0,0,0,0,0,2007,post
Jay Nolly,,GK,0,0,0,0,0,0,0,0,0,0,0,2007,post
Shawn Crowe,,GK,0,0,0,0,0,0,0,0,0,0,0,2007,post
Eric Kronberg,,GK,0,0,0,0,0,0,0,0,0,0,0,2007,post
Chris Konopka,,GK,0,0,0,0,0,0,0,0,0,0,0,2007,post
Brad Knighton,,GK,0,0,0,0,0,0,0,0,0,0,0,2007,post
Danny Cepero,,GK,0,0,0,0,0,0,0,0,0,0,0,2007,post
Doug Warren,,GK,0,0,0,0,0,0,0,0,0,0,0,2007,post
Ronald Waterreus,,GK,0,0,0,0,0,0,0,0,0,0,0,2007,post
Jon Busch,,GK,0,0,0,0,0,0,0,0,0,0,0,2007,post
Danny Cepero,,GK,4,4,22,17,4,2,1,1,2,50,77.3,2008,post
William Hesmer,,GK,4,4,10,7,3,3,0,1,1,75,70,2008,post
Nick Rimando,,GK,3,3,13,9,3,1,1,1,1,33.3,69.2,2008,post
Jon Busch,,GK,3,3,12,10,2,1,1,1,2,33.3,83.3,2008,post
Zach Thornton,,GK,2,2,15,11,3,0,1,1,0,0,73.3,2008,post
Kevin Hartman,,GK,2,2,7,4,3,0,1,1,0,0,57.1,2008,post
Matt Reis,,GK,2,2,13,8,3,0,1,1,1,0,61.5,2008,post
Pat Onstad,,GK,2,2,8,3,4,0,1,1,0,0,37.5,2008,post
Tony Caig,,GK,0,0,0,0,0,0,0,0,0,0,0,2008,post
Andy Gruenebaum,,GK,0,0,0,0,0,0,0,0,0,0,0,2008,post
Eric Kronberg,,GK,0,0,0,0,0,0,0,0,0,0,0,2008,post
Boris Pardo,,GK,0,0,0,0,0,0,0,0,0,0,0,2008,post
Brad Knighton,,GK,0,0,0,0,0,0,0,0,0,0,0,2008,post
Jon Conway,,GK,0,0,0,0,0,0,0,0,0,0,0,2008,post
Doug Warren,,GK,0,0,0,0,0,0,0,0,0,0,0,2008,post
Nick Noble,,GK,0,0,0,0,0,0,0,0,0,0,0,2008,post
Kyle Reynish,,GK,0,0,0,0,0,0,0,0,0,0,0,2008,post
Chris Seitz,,GK,0,0,0,0,0,0,0,0,0,0,0,2008,post
Kenny Schoeni,,GK,0,0,0,0,0,0,0,0,0,0,0,2008,post
Caleb Patterson-Sewell,,GK,0,0,0,0,0,0,0,0,0,0,0,2008,post
Lance Parker,,GK,0,0,0,0,0,0,0,0,0,0,0,2008,post
Corbin Waller,,GK,0,0,0,0,0,0,0,0,0,0,0,2008,post
